concept_code,grade_level,topic_category,concept_name_vn,concept_description,mastery_question,common_misconceptions
RAD-G9-01,9,Điều kiện xác định,Tìm ĐKXĐ của biểu thức dưới căn,Xác định điều kiện để biểu thức A trong căn bậc hai luôn không âm (A >= 0).,Tìm ĐKXĐ của căn thức: \sqrt{2x - 4},1. Quên đổi chiều bất phương trình khi chia cho số âm. 2. Cho rằng biểu thức dưới căn phải > 0 thay vì >= 0. 3. Bỏ sót ĐKXĐ khi biểu thức nằm dưới mẫu số.
RAD-G9-02,9,Điều kiện xác định,Tìm ĐKXĐ của phân thức chứa căn,Xác định điều kiện để mẫu số chứa căn thức khác 0. Kết hợp với ĐKXĐ của căn.,Tìm ĐKXĐ của biểu thức: 1/(\sqrt{x} - 3),1. Chỉ giải mẫu khác 0 mà quên điều kiện x >= 0 của căn. 2. Nhầm lẫn giữa \sqrt{x} != 3 và x != 3 (đúng ra là x != 9).
RAD-G9-03,9,Biến đổi căn thức,Đưa thừa số ra ngoài dấu căn,Áp dụng quy tắc \sqrt{a^2b} = |a|\sqrt{b} để đơn giản hóa biểu thức dưới căn.,"Rút gọn: \sqrt{4x^2y} với x<0, y>=0",1. Đưa ra ngoài căn nhưng quên trị tuyệt đối. 2. Sai dấu khi phá trị tuyệt đối với điều kiện x < 0.
RAD-G9-04,9,Biến đổi căn thức,Trục căn thức ở mẫu (dạng đơn),Nhân cả tử và mẫu với một căn thức để làm mất căn ở mẫu.,Trục căn thức: 5/(2\sqrt{x}),1. Nhân cả tử và mẫu với 2\sqrt{x} thay vì chỉ \sqrt{x}. 2. Rút gọn sai giữa tử và mẫu sau khi trục.
RAD-G9-05,9,Biến đổi căn thức,Trục căn thức bằng lượng liên hợp,Nhân tử và mẫu với lượng liên hợp để tạo HĐT số 3.,Trục căn thức: 2/(\sqrt{x} - 1),1. Nhân sai lượng liên hợp. 2. Khai triển sai mẫu sau khi nhân liên hợp (VD: (\sqrt{x}-1)(\sqrt{x}+1) thành x+1).
RAD-G9-06,9,Rút gọn,Rút gọn biểu thức chứa căn (Tổng hợp),"Thực hiện chuỗi: Quy đồng, cộng/trừ/nhân/chia, thu gọn.",Rút gọn P.,1. Sai lầm khi phân phối dấu trừ trước phân thức. 2. Triệt tiêu sai các số hạng không phải là nhân tử chung.
RAD-G9-07,9,Câu hỏi phụ,Tính giá trị biểu thức khi biết x,Thay giá trị x vào biểu thức đã rút gọn để tính.,Tính P khi x = 4 - 2\sqrt{3},1. Không kiểm tra x có thỏa mãn ĐKXĐ trước khi thay. 2. Không rút gọn x trước khi thay vào \sqrt{x}.
RAD-G9-08,9,Câu hỏi phụ,Giải bất phương trình chứa căn,"Tìm x để biểu thức P > 0, P < 0.",Tìm x để P < 0,1. Bỏ qua việc xét dấu mẫu số. 2. Nhân chéo biểu thức chứa ẩn mà không biết rõ dấu. 3. Quên kết hợp ĐKXĐ.
RAD-G9-09,9,Câu hỏi phụ,Giải phương trình chứa căn,Tìm x để biểu thức P nhận một giá trị cụ thể.,Tìm x để P = 1,1. Quên bình phương hai vế hoặc chuyển vế sai. 2. Không loại nghiệm ngoại lai không thỏa mãn ĐKXĐ.
RAD-G9-10,9,Câu hỏi phụ,Tìm x nguyên để P nguyên (Ước số),"Phân tích P = A + B/C(\sqrt{x}), dùng tính chất chia hết.",Tìm x nguyên để P nhận giá trị nguyên.,1. Xét thiếu các ước số âm của tử số. 2. Giải ra \sqrt{x} nhưng quên bình phương để tìm x.
RAD-G9-11,9,Câu hỏi phụ,Tìm x để P nguyên (Chặn/Đánh giá),Sử dụng bất đẳng thức hoặc tập giá trị để chặn P.,Tìm x để P nguyên.,1. Không nhận ra miền giá trị của P. 2. Thiếu bước thử lại các giá trị nguyên của P để tìm x.
RAD-G8-01,8,Hằng đẳng thức,Khai triển HĐT bình phương,Sử dụng HĐT (A \pm B)^2.,Khai triển: (\sqrt{x} - 1)^2,1. Thiếu số hạng 2AB ở giữa. 2. Sai dấu ở số hạng cuối.
RAD-G8-02,8,Hằng đẳng thức,Khai triển HĐT hiệu hai bình phương,Sử dụng HĐT A^2 - B^2.,Phân tích thành nhân tử: x - 4,1. Không nhận ra x = (\sqrt{x})^2. 2. Phân tích sai thành (x-2)(x+2).
RAD-G8-03,8,Phân tích đa thức,Đặt nhân tử chung,Tìm và đặt nhân tử chung cho các hạng tử.,Phân tích: x - \sqrt{x},1. Không thấy nhân tử chung \sqrt{x}. 2. Khi rút hết hạng tử quên ghi lại số 1.
RAD-G8-04,8,Phân tích đa thức,Phân tích tam thức bậc hai (Tách hạng tử),Tách hạng tử bậc nhất để đưa về nhóm hạng tử.,Phân tích: x - 3\sqrt{x} + 2,1. Tách sai dấu hạng tử giữa. 2. Nhóm sai nhân tử chung.
RAD-G8-05,8,Phân thức,Đổi dấu phân thức,Sử dụng tính chất A/(B-A) = -A/(A-B).,Biến đổi: \sqrt{x}/(1 - x),"1. Đổi dấu mẫu nhưng quên đổi dấu tử. 2. Khi đưa dấu trừ lên trước phân thức, quên đóng ngoặc tử số."
RAD-G8-06,8,Phân thức,Tìm Mẫu thức chung (MTC),Phân tích các mẫu thành nhân tử và chọn MTC.,Tìm MTC của biểu thức.,1. Chọn MTC bằng cách nhân thẳng 2 mẫu gây cồng kềnh. 2. Không phân tích mẫu thành HĐT trước.
RAD-G8-07,8,Phân thức,Quy đồng mẫu thức đại số,Nhân tử và mẫu với nhân tử phụ tương ứng.,Quy đồng phân thức.,"1. Chỉ nhân nhân tử phụ vào mẫu, quên nhân tử. 2. Xác định sai nhân tử phụ."
RAD-G8-08,8,Phân thức,Cộng/Trừ phân thức cùng mẫu,Cộng/Trừ các tử số và giữ nguyên mẫu số chung.,Thực hiện phép trừ 2 phân thức.,1. Sai lầm lớn nhất: Không đổi dấu toàn bộ các hạng tử của tử số thứ 2 khi trước phân thức là dấu trừ.
RAD-G8-09,8,Phân thức,Nhân/Chia phân thức,"Tử nhân tử, mẫu nhân mẫu. Chia thì nhân nghịch đảo.",Thực hiện phép chia.,1. Quên nghịch đảo phân thức thứ 2 khi chia. 2. Nhân chéo nhưng giữ nguyên phép chia.
RAD-G8-10,8,Phân thức,Xét dấu phân thức đại số,"Đánh giá phân thức A/B > 0 (A, B cùng dấu) hoặc A/B < 0 (A, B trái dấu).",Tìm x để A/B < 0,1. Cho rằng A/B < 0 thì chỉ cần A < 0. 2. Không lập bảng xét dấu khi tử và mẫu đều chứa x.
RAD-G7-01,7,Lũy thừa,Tính lũy thừa bậc hai,"Bình phương của một số, một tích.",Tính: (-2\sqrt{x})^2,1. Quên bình phương hệ số. 2. Giữ nguyên dấu trừ khi bình phương.
RAD-G7-02,7,Căn thức,Tính chất căn bậc hai số học,Áp dụng hằng đẳng thức \sqrt{A^2} = |A|.,Rút gọn: \sqrt{(x-2)^2},"1. Bỏ qua trị tuyệt đối, luôn ghi là x-2. 2. Cho rằng \sqrt{A^2} = \pm A thay vì |A|."
RAD-G7-03,7,Giá trị tuyệt đối,Bỏ dấu giá trị tuyệt đối,Đánh giá biểu thức bên trong để phá trị tuyệt đối.,Bỏ dấu: |1 - \sqrt{3}|,1. Bỏ dấu tùy tiện không kiểm tra tính âm/dương. 2. Đổi dấu sai một nửa.
RAD-G7-04,7,Số hữu tỉ,Chuyển vế đổi dấu,Chuyển các số hạng từ vế này sang vế kia và thay đổi dấu.,Giải: 2x - 3 = 5,1. Chuyển vế nhưng quên đổi dấu.
