concept_code,grade_level,topic_category,concept_name_vn,concept_description,mastery_question,common_misconceptions
RAD-G9-01,9,Điều kiện xác định,"Tìm ĐKXĐ của biểu thức dưới căn","Xác định điều kiện để biểu thức A trong căn bậc hai luôn không âm (A >= 0).","Tìm ĐKXĐ của căn thức: \sqrt{2x - 4}","1. Quên đổi chiều bất phương trình khi chia cho số âm. 2. Cho rằng biểu thức dưới căn phải > 0 thay vì >= 0. 3. Bỏ sót ĐKXĐ khi biểu thức nằm dưới mẫu số."
RAD-G9-02,9,Điều kiện xác định,"Tìm ĐKXĐ của phân thức chứa căn","Xác định điều kiện để mẫu số chứa căn thức khác 0. Kết hợp với ĐKXĐ của căn.","Tìm ĐKXĐ của biểu thức: 1/(\sqrt{x} - 3)","1. Chỉ giải mẫu khác 0 mà quên điều kiện x >= 0 của căn. 2. Nhầm lẫn giữa \sqrt{x} != 3 và x != 3 (đúng ra là x != 9). 3. Ghi sai ký hiệu ngoặc nhọn (đồng thời) thành ngoặc vuông (hoặc)."
RAD-G9-03,9,Biến đổi căn thức,"Đưa thừa số ra ngoài dấu căn","Áp dụng quy tắc \sqrt{a^2b} = |a|\sqrt{b} để đơn giản hóa biểu thức dưới căn.","Rút gọn: \sqrt{4x^2y} với x<0, y>=0","1. Đưa ra ngoài căn nhưng quên trị tuyệt đối. 2. Sai dấu khi phá trị tuyệt đối với điều kiện x < 0. 3. Tính sai căn bậc hai của hệ số (VD: \sqrt{4} ghi thành 4)."
RAD-G9-04,9,Biến đổi căn thức,"Trục căn thức ở mẫu (dạng đơn)","Nhân cả tử và mẫu với một căn thức để làm mất căn ở mẫu (dạng A/\sqrt{B}).","Trục căn thức: 5/(2\sqrt{x})","1. Nhân cả tử và mẫu với 2\sqrt{x} thay vì chỉ \sqrt{x} gây cồng kềnh. 2. Rút gọn sai giữa tử và mẫu sau khi trục. 3. Quên điều kiện x > 0 khi trục căn."
RAD-G9-05,9,Biến đổi căn thức,"Trục căn thức bằng lượng liên hợp","Nhân tử và mẫu với lượng liên hợp của mẫu (A+\sqrt{B} hoặc \sqrt{A}-\sqrt{B}) để tạo HĐT số 3.","Trục căn thức: 2/(\sqrt{x} - 1)","1. Nhân sai lượng liên hợp (mẫu trừ thì nhân tử trừ). 2. Khai triển sai mẫu sau khi nhân liên hợp (VD: (\sqrt{x}-1)(\sqrt{x}+1) thành x+1). 3. Không đóng ngoặc tử số khi nhân."
RAD-G9-06,9,Rút gọn,"Rút gọn biểu thức chứa căn (Tổng hợp)","Thực hiện chuỗi hành động: Quy đồng, cộng/trừ/nhân/chia, thu gọn các phân thức chứa căn.","Rút gọn: (\sqrt{x}/(\sqrt{x}-1) + 1/(x-\sqrt{x})) : (1/(\sqrt{x}-1))","1. Sai lầm khi phân phối dấu trừ trước phân thức. 2. Nghịch đảo sai phân thức khi thực hiện phép chia. 3. Triệt tiêu sai các số hạng không phải là nhân tử chung."
RAD-G9-07,9,Câu hỏi phụ,"Tính giá trị biểu thức khi biết x","Thay giá trị x (thường chứa căn hoặc HĐT) vào biểu thức đã rút gọn để tính.","Tính P khi x = 4 - 2\sqrt{3}","1. Không kiểm tra x có thỏa mãn ĐKXĐ trước khi thay. 2. Không rút gọn x (đưa về bình phương) trước khi thay vào \sqrt{x}. 3. Tính toán sai dấu khi thế số."
RAD-G9-08,9,Câu hỏi phụ,"Giải bất phương trình chứa căn","Tìm x để biểu thức P > 0, P < 0, hoặc so sánh P với 1 số/biểu thức khác.","Tìm x để P = (\sqrt{x} - 2)/(\sqrt{x} + 1) < 0","1. Bỏ qua việc xét dấu mẫu số (luôn dương). 2. Nhân chéo biểu thức chứa ẩn mà không biết rõ dấu. 3. Quên kết hợp nghiệm tìm được với ĐKXĐ ban đầu."
RAD-G9-09,9,Câu hỏi phụ,"Giải phương trình chứa căn","Tìm x để biểu thức P nhận một giá trị cụ thể (P = k).","Tìm x để P = 2\sqrt{x}/(\sqrt{x} + 1) = 1","1. Quên bình phương hai vế hoặc chuyển vế sai. 2. Không loại nghiệm ngoại lai không thỏa mãn ĐKXĐ. 3. Phân tích sai nhân tử khi giải phương trình bậc 2 theo \sqrt{x}."
RAD-G9-10,9,Câu hỏi phụ,"Tìm x nguyên để P nguyên (Ước số)","Phân tích P = A + B/C(\sqrt{x}), dùng tính chất chia hết để tìm x.","Tìm x nguyên để P = 3/(\sqrt{x} - 1) nhận giá trị nguyên.","1. Xét thiếu các ước số âm của tử số. 2. Giải ra \sqrt{x} nhưng quên bình phương để tìm x. 3. Tìm được x nhưng quên đối chiếu điều kiện ban đầu."
